broadcast_id,created_at,user_id,user_username,buy_token_id,buy_token_amount,buy_token_price_bcast,buy_token_mcap_bcast,sell_token_id,sell_token_amount,sell_token_price_bcast,sell_token_mcap_bcast,broadcast_has_buy_token,broadcast_has_sell_token,user_twitter_username,user_is_verified,user_is_verified_binary,user_follower_count,user_followee_count,user_mutual_follower_count,user_mutual_followers_binary,user_visibility,user_visible_public,user_weekly_rank,user_weekly_value,user_weekly_rank_is_top100,user_best_rank,user_best_rank_value,user_best_rank_is_top100,user_top_three_pnl_win_total,user_top_three_pnl_loss_total,user_top_three_volume_total,user_daily_pnl,user_daily_volume,user_weekly_pnl,user_weekly_volume,user_subscriber_count,user_has_subscribers,user_followed_by_you,user_followed_by_you_binary,user_subscribed_by_you,user_subscribed_by_you_binary,user_has_twitter,buy_token_name,buy_token_symbol,buy_token_price,buy_token_supply,buy_token_chain,buy_token_liquidity,buy_token_has_liquidity,buy_token_volume24h,buy_token_volume6h,buy_token_volume1h,buy_token_volume5min,buy_token_buyVolume24h,buy_token_sellVolume24h,buy_token_buyVolume6h,buy_token_sellVolume6h,buy_token_buyVolume1h,buy_token_sellVolume1h,buy_token_buyVolume5min,buy_token_sellVolume5min,buy_token_buyCount24h,buy_token_sellCount24h,buy_token_buyCount6h,buy_token_sellCount6h,buy_token_buyCount1h,buy_token_sellCount1h,buy_token_buyCount5min,buy_token_sellCount5min,buy_token_verified,buy_token_is_verified,buy_token_jupVerified,buy_token_is_jupVerified,buy_token_freezable,buy_token_is_freezable,buy_token_twitter,buy_token_has_twitter,buy_token_telegram,buy_token_has_telegram,buy_token_website,buy_token_has_website,buy_token_discord,buy_token_has_discord,buy_token_top10HolderPercent,buy_token_top10HolderPercentV2,price_30s_variance,price_1m_variance,price_5m_variance,won_30s,won_1m,won_5m
f18d729c-c46d-474d-852f-060067cfb948,1735780902457,9ceb4b18-d46c-4df8-b2e8-1f1717ebf3fe,cryptoKevin12,SOLANA:3wfWaBTvbdE7eWYhNwtJKbxaWaYj7VXiu2AMQFXqpump,12758825104,3.004441315807525e-09,3004017.119117715,SOLANA:So11111111111111111111111111111111111111112,197567359,1.973296846153846e-07,114088184347.2,1,1,cryptoKevin12,False,0,104,58,0,0,PUBLIC,1,46,4491.000267758465,1,46,4491.000267758465,1,0,0,0,49.77070350080777,0,4491.000267758465,23301.91415469258,14,1,True,1,False,0,1,FREE TOMMY ROBINSON,TOMMY,2.9501043927055836e-09,999858810126336,SOLANA,614373095124483,1,5946749.416999398,5946749.416999398,3828163.1392932236,2629178.860957303,3054088.7528855675,2892660.6641138317,3054088.7528855675,2892660.6641138317,1973691.6885882737,1854471.4507049501,1334880.9426143388,1294297.918342964,9982,8302,9982,8302,3085,2593,2155,1735,,0,,0,False,0,https://x.com/FreeTommySolana,1,https://t.me/tommy_communitysol,1,,0,,0,0.21804228205490572,0.21804228205490572,-11.849668393874861,-18.067566148065186,5.607952295542288,False,False,False
a0c8517a-b8a6-4615-ae31-fdb95858cb66,1735780826180,241042b1-aa9e-407c-97e7-374a453a507b,cuatro3s,SOLANA:9S9fB8R5fhXN9jnXPNJtDXgfPjXBJhoAEMhJojP5pump,122192604419,4.050279998742974e-10,388991.3493624093,SOLANA:2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,1221426310,4.066255128511757e-08,3614442373.408037,1,1,cuatro3s,False,0,84,33,0,0,PUBLIC,1,491,115.857600794775,0,491,115.857600794775,0,0,0,0,18.55528997380093,49.57952440626434,115.857600794775,183.9426349185405,3,1,True,1,False,0,1,The New Genesis,gen,4.2385793086226517e-10,960406069415287,SOLANA,195242458657506,1,560586.4499876964,497573.9170465633,268356.9441410845,30759.40232093751,296779.796306305,263806.6536813915,265655.3889528241,231918.52809373912,140294.5747665492,128062.3693745352,12707.720993118313,18051.681327819202,1353,1105,1093,865,443,388,45,49,,0,,0,False,0,https://x.com/TheNewGenesisAi,1,,0,https://www.thenewgenesis.xyz/,1,,0,0.1844944806508973,0.1844944806508973,16.125521642582775,8.565660520438898,2.886254254656405,False,False,False
86b4dacf-55d8-4c7a-b383-a7e1c184edb7,1735780806843,67d058e1-be93-4c45-9fca-c987c276e182,blOccbusterr,SOLANA:HTHp5mrnReMi2Ytg9M4vBygakczspXgTqhSFpkxGpump,2150303888539,1.146983375609849e-11,11469.83375609849,SOLANA:So11111111111111111111111111111111111111112,125307399,1.973499891111111e-07,114099923599.9943,1,1,blOccbusterr,False,0,28,58,0,0,PUBLIC,1,1690,-58.51440596005267,0,939,1.338322515960785,0,0,0,0,1.887049473707116,0,-58.51440596005267,1565.7135151534,3,1,True,1,False,0,1,QΔXIUM25,QΔXIUM25,2.040559320345491e-11,1000000000000000,SOLANA,454993455904847,1,13937.546876000953,13937.546876000953,13937.546876000953,13937.546876000953,9821.007627825831,4116.53924817512,9821.007627825833,4116.53924817512,9821.007627825831,4116.53924817512,9821.007627825833,4116.53924817512,123,75,123,75,123,75,123,75,,0,,0,False,0,,0,,0,http://qaxium25.fun,1,,0,0.251640053525277,0.251640053525277,72.64964004387791,87.47364512014147,173.69584621146103,True,True,True
b90f0132-9127-45f6-84ca-6b3c66f662fd,1735780799610,adafed73-a342-49be-8b97-1016d46433f7,dgnbuilder,SOLANA:7EqZv9QC5C9BGAX6bNK1Q9MboJzRtmgeQi3uzhTupump,59439527927,2.254812014894067e-09,2254811.952272356,SOLANA:So11111111111111111111111111111111111111112,682280783,1.971216780384054e-07,113967923207.8479,1,1,dgnbuilder,False,0,2,10,0,0,PUBLIC,1,1798,-119.5344034510127,0,1798,-119.5344034510127,0,0,0,0,-28.43322920362048,716.8326921376963,-119.5344034510127,2015.819637838615,0,0,False,0,False,0,1,OpenAGI,OpenAGI,1.9528277400935715e-09,999999972227525,SOLANA,222462665461382,1,3852077.110434017,3836329.502435152,1080177.5768248516,235018.53032157212,1972882.861545638,1879194.2488883813,1962880.8304565866,1873448.6719785677,558847.7435679621,521329.8332568882,129113.96752909331,105904.5627924788,9200,7958,9117,7905,1887,1818,203,244,,0,,0,False,0,,0,,0,https://pump.fun/coin/7EqZv9QC5C9BGAX6bNK1Q9MboJzRtmgeQi3uzhTupump,1,,0,0.1930833709905091,0.1930833709905091,-12.429367529656314,-6.878442781505939,-22.819922396001733,False,False,False
815ef3a0-4b65-4bbe-a4d3-04ff4bbe86df,1735780798147,1cf7ab62-1e27-497f-a543-471f4bdd0894,Habiboooo4,SOLANA:3wfWaBTvbdE7eWYhNwtJKbxaWaYj7VXiu2AMQFXqpump,255622906.9672338,3.912012471277395e-09,3911460.134730804,SOLANA:So11111111111111111111111111111111111111112,5076772.396488845,1.969755431012845e-07,113883433792.6932,1,1,Habiboooo4,False,0,21,37,0,0,STEALTH,0,,0.0,0,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,True,1,False,0,1,FREE TOMMY ROBINSON,TOMMY,2.613631334842047e-09,999858810126336,SOLANA,614373095124483,1,5916461.007236464,5916461.007236464,3797874.7295302907,2598890.45119437,3038944.548004101,2877516.4592323652,3038944.548004101,2877516.4592323652,1958547.483706807,1839327.2458234834,1319736.7377328721,1279153.7134614973,9982,8277,9982,8277,3085,2568,2155,1710,,0,,0,False,0,https://x.com/FreeTommySolana,1,https://t.me/tommy_communitysol,1,,0,,0,0.21804228205490572,0.21804228205490572,-27.760560469111034,-32.969819659112474,-18.515649011189204,False,False,False
69cd7197-314a-4098-9faa-63fe5200bfde,1735780791065,c99bd8c7-6cea-47f4-9f11-2b35b16069e4,NFT_KyleB,SOLANA:6ZeeWRQxTQgzM8ADAqWPXXRLEnncjUeucHzZuZAwpump,755556031112,2.549365656314919e-11,25493.65656314919,SOLANA:So11111111111111111111111111111111111111112,98404048,1.971216780384054e-07,113967923207.8479,1,1,NFT_KyleB,False,0,25,22,0,0,PUBLIC,1,740,30.92140548173372,0,319,65.21107118593325,0,0,0,0,-1.856125577282032,414.7035129873723,30.92140548173372,1496.247773971829,1,1,True,1,False,0,1,Young Dev Apology on X,DEVAPOLOGY,3.868025247119876e-11,1000000000000000,SOLANA,137490763536073,1,78930.52931904342,78930.52931904342,78930.52931904342,38492.382161503294,42923.254114845666,36007.27520419767,42923.254114845666,36007.27520419767,42923.254114845666,36007.27520419767,18714.305846585103,19778.076314918195,280,194,280,194,280,194,181,155,,0,,0,False,0,https://x.com/youngdevapology,1,,0,,0,,0,0.455931027559368,0.455931027559368,41.12580084141174,60.8965807741914,130.4675302748152,True,True,True
2ee96836-cd3c-409f-8cbf-0328adb4d355,1735780786391,0f0ea251-27e9-4995-87da-528c58af4a1b,0xdoner,SOLANA:3wfWaBTvbdE7eWYhNwtJKbxaWaYj7VXiu2AMQFXqpump,13351622716,3.626451594247052e-09,3625939.576004611,SOLANA:So11111111111111111111111111111111111111112,250838523,1.970539735462083e-07,113928779160.1494,1,1,0xdoner,False,0,109,57,0,0,PUBLIC,1,,0.0,0,276,107.721960838,0,0,0,0,163.7900389429938,607.931195999806,877.8807999639704,5470.693168649317,15,1,True,1,False,0,1,FREE TOMMY ROBINSON,TOMMY,2.9501043927055836e-09,999858810126336,SOLANA,614373095124483,1,5951769.980651604,5951769.980651604,3833183.70294543,2634199.4246095093,3056599.0347116706,2895170.945939935,3056599.0347116706,2895170.945939935,1976201.9704143766,1856981.732531053,1337391.2244404417,1296808.200169067,9982,8310,9982,8310,3085,2601,2155,1743,,0,,0,False,0,https://x.com/FreeTommySolana,1,https://t.me/tommy_communitysol,1,,0,,0,0.21804228205490572,0.21804228205490572,-22.072146554708798,-32.120646595717304,-12.505961569180727,False,False,False
6384cc5a-46ff-4dd6-8017-90a8455e36fd,1735780773254,016a662a-d05c-4e0c-a822-637447afee7c,Saint_GuyP,SOLANA:3KzJ2Fwjz78zntrVWXUH1tHhLYAgPoPntMwABRvapump,105456851964,4.753989637708743e-11,47539.89636635264,SOLANA:So11111111111111111111111111111111111111112,25696893,1.973834418306953e-07,114119264633.4849,1,1,Saint_GuyP,False,0,32,45,0,0,PUBLIC,1,1568,-29.00263873389659,0,114,462.7574835461919,0,0,0,0,6.860734829504064,10.8147652595382,-29.00263873389659,997.5402674819659,2,1,True,1,False,0,1,Sun of Eternity,SOE,4.543788290781361e-11,999999999774194,SOLANA,92042532800598,1,61573.43675524376,61573.43675524376,61573.43675524376,28968.940809989865,36256.33636350669,25317.100391737065,36256.33636350669,25317.100391737065,36256.33636350669,25317.100391737065,13332.997588489556,15635.94322150031,243,141,243,141,243,141,113,81,,0,,0,False,0,https://x.com/artbyvesa/status/1866939198210707827?s=46&t=Z1ldmZvurG5gH440wXUauQ,1,https://x.com/artbyvesa/status/1866939198210707827?s=46&t=Z1ldmZvurG5gH440wXUauQ,1,,0,,0,0.034612903215172804,0.034612903215172804,-6.76365145591447,-13.356983981819038,21.585568280332705,False,False,False
bb495ab0-24af-4b62-941b-a5b42b3ccdf2,1735780767423,632f200f-03a4-4ac8-8fcd-a6a02458114f,SATOSHINAKAM0F0,SOLANA:Y63BTKpQo9Fj9ad9or8uEhGnWExGi6GJsfxAdVEpump,46940076642,5.180179289341097e-10,518017.6386374124,SOLANA:So11111111111111111111111111111111111111112,125535393,1.97338109166885e-07,114093055088.1962,1,1,SATOSHINAKAM0F0,False,0,26,56,0,0,PUBLIC,1,584,74.82519400681537,0,584,74.82519400681537,0,0,0,0,0,0,74.82519400681537,3034.789463895116,1,1,True,1,False,0,1,Hypnoslimes,HYPNO,5.745242385118717e-10,999999439601062,SOLANA,547024422073311,1,3218991.208482505,3218991.208482505,1115034.2396441854,68964.82194545685,1648022.3704627175,1570968.8380197876,1648022.3704627175,1570968.8380197876,568195.868501158,546838.3711430272,35857.996929990375,33106.82501546646,9629,7457,9629,7457,3625,2868,211,201,,0,,0,False,0,https://x.com/0xzerebro/status/1874593878570946890,1,,0,,0,,0,0.1467216854624667,0.1467216854624667,11.565848791940333,6.683295529501381,11.506704410618308,False,False,False
746e67d9-6f6b-40b2-8f5f-13cafb59855e,1735780755433,dc6830ec-f979-40f4-9178-796342b54ce7,T0K3NSTR0K1N,SOLANA:9umkdJdE555ZFMyYbi1AXK2VC2Ge6qUwuLH6bwXPpump,3099550618,4.724028092588121e-09,4724025.247926512,SOLANA:So11111111111111111111111111111111111111112,75060718,1.974897869593301e-07,114180749162.0988,1,1,T0K3NSTR0K1N,False,0,40,32,0,0,PUBLIC,1,1595,-34.93138160237939,0,1595,-34.93138160237939,0,0,0,0,-3.019368199363065,49.77355436222024,-34.93138160237939,135.4180531776269,0,0,True,1,False,0,1,DUNA,DUNA,4.556681691223925e-09,999999397831352,SOLANA,78914476453932,1,20120419.672681928,20095743.60585543,4410731.997254705,642317.7042080212,10093825.345222559,10026594.327459361,10076863.41010281,10018880.195752613,2238500.875219798,2172231.122034906,319299.8193291207,323017.8848789007,30829,26651,30672,26585,4953,4735,617,611,,0,,0,False,0,https://x.com/i/communities/1874537471955927076,1,,0,https://m.theblockbeats.info/en/news/51974,1,,0,0.11243516954907704,0.11243516954907704,-8.283751766389317,-11.604085005211664,-0.22830454597029776,False,False,False
